timestamp,outdoor_temp_c,wind_speed_ms,occupancy,electricity_kwh,gas_kwh,indoor_temp_c,boiler_on,outdoor_temp_c_obs,wind_speed_ms_obs,occupancy_obs,electricity_kwh_obs,gas_kwh_obs,indoor_temp_c_obs,indoor_temp_c_z2,indoor_temp_c_z2_obs,indoor_temp_c_z2_smooth,outdoor_temp_c_smooth,indoor_temp_c_smooth
2024-01-01 00:00,6.3,5.94,1,0.0375,0.08,19.92,0,6.257,5.85,1,0.037551,0.081288,19.732,17.94,17.562,17.657,6.269,19.746
2024-01-01 00:30,6.2,6.94,1,0.0375,0.08,19.84,0,6.468,7.21,0,0.037544,0.080931,19.971,17.88,17.902,17.663,6.282,19.747
2024-01-01 01:00,6.1,7.94,1,0.0375,0.08,19.76,0,5.879,7.43,1,0.037211,0.079225,20.122,17.819,17.834,17.655,6.108,19.733
2024-01-01 01:30,6.2,8.33,1,0.0375,0.08,19.682,0,6.112,7.9,1,0.037664,0.079807,19.757,17.759,17.809,17.634,6.164,19.696
2024-01-01 02:00,6.3,8.72,1,0.0375,0.08,19.604,0,6.535,8.16,1,0.03747,0.079016,19.796,17.701,17.668,17.603,6.271,19.655
2024-01-01 02:30,6.3,9.15,1,1.2875,0.08,19.649,0,5.766,8.85,1,1.292955,0.079198,19.632,17.642,17.583,17.568,6.113,19.605
2024-01-01 03:00,6.3,9.58,1,0.0375,0.08,19.571,0,6.334,9.99,1,0.037509,0.080367,19.521,17.584,17.864,17.532,6.304,19.553
2024-01-01 03:30,6.6,9.03,1,0.0375,0.08,19.495,0,6.409,9.39,1,0.037453,0.081869,19.331,17.528,17.308,17.475,6.464,19.503
2024-01-01 04:00,6.9,8.47,1,0.0375,0.08,19.422,0,7.131,9.18,1,0.037089,0.08166,19.259,17.475,17.278,17.429,6.679,19.464
2024-01-01 04:30,6.6,8.08,1,0.0375,0.08,19.348,0,6.37,7.2,1,0.037506,0.080203,19.285,17.419,17.564,17.392,6.442,19.438
2024-01-01 05:00,6.3,7.69,1,0.0375,0.08,19.272,0,6.474,8.85,1,0.037392,0.081073,18.92,17.362,17.632,17.345,6.276,19.421
2024-01-01 05:30,6.0,7.62,1,0.0375,0.08,19.195,0,5.772,7.72,1,0.037364,0.079765,18.827,17.304,17.088,17.279,5.912,19.436
2024-01-01 06:00,5.7,7.56,1,0.0375,0.08,19.116,0,5.53,7.77,1,0.037418,0.079979,19.208,17.244,17.272,17.225,5.689,19.488
2024-01-01 06:30,5.7,7.4,1,0.0375,0.08,19.038,0,5.33,6.76,1,0.037669,0.080305,19.283,17.184,17.178,17.169,5.624,19.558
2024-01-01 07:00,5.7,7.25,1,0.0375,12.022834,20.0,1,6.286,7.07,0,0.037448,11.843981,19.847,17.125,17.089,17.111,5.854,19.646
2024-01-01 07:30,5.6,7.19,1,0.995833,0.08,20.009,0,5.508,7.0,1,0.984003,0.080569,20.12,17.07,16.96,17.056,5.652,19.721
2024-01-01 08:00,5.5,7.14,1,2.120833,0.08,20.126,0,5.312,7.14,1,2.126966,0.07951,19.95,17.015,16.805,17.006,5.593,19.771
2024-01-01 08:30,5.55,7.22,0,0.870833,0.08,20.121,0,5.842,7.91,0,0.871791,0.079032,20.298,16.961,16.962,16.969,5.816,19.809
2024-01-01 09:00,5.6,7.31,0,0.0375,0.08,20.035,0,6.285,7.45,0,0.037579,0.079402,20.418,16.908,17.054,16.932,6.013,19.817
2024-01-01 09:30,5.75,6.96,0,0.0375,0.08,19.95,0,5.87,6.89,0,0.037788,0.08057,19.96,16.857,16.753,16.887,5.938,19.788
2024-01-01 10:00,5.9,6.61,0,0.0375,0.08,19.867,0,5.526,6.71,0,0.037637,0.079397,19.926,16.806,17.048,16.851,5.93,19.748
2024-01-01 10:30,6.35,6.65,0,0.0375,0.08,19.786,0,6.325,6.32,0,0.037772,0.079965,19.563,16.758,16.85,16.803,6.327,19.696
2024-01-01 11:00,6.8,6.69,0,0.0375,0.08,19.709,0,6.955,6.94,0,0.037385,0.079695,19.723,16.713,16.788,16.752,6.727,19.653
2024-01-01 11:30,7.0,5.69,0,0.0375,0.08,19.634,0,6.853,5.43,0,0.037546,0.079763,19.656,16.669,16.966,16.698,6.899,19.606
2024-01-01 12:00,7.2,4.69,0,0.0375,0.08,19.56,0,7.236,4.95,0,0.037309,0.079609,19.638,16.626,16.271,16.628,7.116,19.555
2024-01-01 12:30,7.25,4.67,0,0.0375,0.08,19.487,0,7.3,4.88,0,0.037313,0.080415,19.448,16.584,16.287,16.58,7.213,19.5
2024-01-01 13:00,7.3,4.64,0,0.0375,0.08,19.415,0,7.436,4.62,0,0.037302,0.081347,19.416,16.542,16.672,16.551,7.223,19.447
2024-01-01 13:30,7.25,3.87,0,0.0375,0.08,19.343,0,6.952,4.04,0,0.037501,0.081813,18.971,16.5,16.639,16.514,7.021,19.397
2024-01-01 14:00,7.2,3.11,0,0.0375,0.08,19.271,0,7.108,3.06,0,0.037754,0.078192,19.619,16.458,16.285,16.469,6.887,19.373
2024-01-01 14:30,6.55,2.86,0,0.0375,0.08,19.196,0,6.724,3.36,0,0.037447,0.080162,18.775,16.412,16.812,16.435,6.533,19.333
2024-01-01 15:00,5.9,2.61,0,0.0375,0.08,19.117,0,5.85,3.48,0,0.037083,0.080935,19.372,16.363,16.356,16.378,5.987,19.329
2024-01-01 15:30,5.4,2.97,0,0.0375,0.08,19.036,0,5.366,2.69,0,0.037742,0.079794,18.716,16.31,16.223,16.322,5.579,19.322
2024-01-01 16:00,4.9,3.33,0,0.0375,0.08,18.953,0,5.272,3.56,0,0.037566,0.079626,19.032,16.255,16.235,16.273,5.384,19.352
