timestamp,outdoor_temp_c,wind_speed_ms,occupancy,electricity_kwh,gas_kwh,indoor_temp_c,boiler_on,outdoor_temp_c_obs,wind_speed_ms_obs,occupancy_obs,electricity_kwh_obs,gas_kwh_obs,indoor_temp_c_obs
2024-01-01 00:00,6.3,5.94,1,0.0375,0.08,19.898,0,6.257,5.85,1,0.037551,0.081288,19.71
2024-01-01 00:30,6.2,6.94,1,0.0375,0.08,19.795,0,5.633,7.39,0,0.037602,0.080186,20.028
2024-01-01 01:00,6.1,7.94,1,0.0375,0.08,19.693,0,6.297,8.0,1,0.037373,0.079843,19.385
2024-01-01 01:30,6.2,8.33,1,0.0375,0.08,19.592,0,5.909,9.23,1,0.037514,0.07975,19.69
2024-01-01 02:00,6.3,8.72,1,0.0375,0.08,19.493,0,6.562,8.6,1,0.037799,0.080886,19.205
2024-01-01 02:30,6.3,9.15,1,1.2875,0.08,19.478,0,5.97,9.07,1,1.279584,0.079267,19.653
2024-01-01 03:00,6.3,9.58,1,0.0375,0.08,19.38,0,6.499,8.97,1,0.037241,0.079416,19.518
2024-01-01 03:30,6.6,9.03,1,0.0375,0.08,19.284,0,6.661,8.98,1,0.037574,0.08052,19.38
2024-01-01 04:00,6.9,8.47,1,0.0375,0.08,19.192,0,6.712,8.11,1,0.037537,0.08061,19.458
2024-01-01 04:30,6.6,8.08,1,0.0375,0.08,19.098,0,6.432,7.84,1,0.037427,0.080405,19.265
2024-01-01 05:00,6.3,7.69,1,0.0375,0.08,19.003,0,6.728,7.64,1,0.037356,0.078589,19.026
2024-01-01 05:30,6.0,7.62,1,0.0375,0.08,18.906,0,5.786,8.05,1,0.037533,0.080465,19.37
2024-01-01 06:00,5.7,7.56,1,0.0375,0.08,18.807,0,5.886,7.26,1,0.03717,0.081082,18.655
2024-01-01 06:30,5.7,7.4,1,0.0375,0.08,18.709,0,5.76,7.41,1,0.037741,0.078527,18.493
2024-01-01 07:00,5.7,7.25,1,0.0375,12.08,19.326,1,5.53,7.46,1,0.037418,12.076845,19.418
2024-01-01 07:30,5.6,7.19,1,0.995833,12.052837,20.0,1,5.642,6.57,1,0.989498,12.161721,20.076
2024-01-01 08:00,5.5,7.14,1,2.120833,0.08,20.031,0,5.868,7.13,1,2.121866,0.079907,19.976
2024-01-01 08:30,5.55,7.22,0,0.870833,0.08,19.978,0,5.104,6.84,0,0.870043,0.080653,20.116
2024-01-01 09:00,5.6,7.31,0,0.0375,0.08,19.871,0,4.887,7.67,0,0.037481,0.080939,20.062
2024-01-01 09:30,5.75,6.96,0,0.0375,0.08,19.765,0,6.347,7.25,0,0.037385,0.079643,19.692
2024-01-01 10:00,5.9,6.61,0,0.0375,0.08,19.661,0,5.929,5.99,0,0.037494,0.079995,19.643
2024-01-01 10:30,6.35,6.65,0,0.0375,0.08,19.562,0,6.403,7.58,0,0.037334,0.079902,19.627
2024-01-01 11:00,6.8,6.69,0,0.0375,0.08,19.467,0,7.324,5.85,0,0.037429,0.080027,19.49
2024-01-01 11:30,7.0,5.69,0,0.0375,0.08,19.374,0,6.49,6.08,0,0.037654,0.079847,19.778
2024-01-01 12:00,7.2,4.69,0,0.0375,0.08,19.283,0,7.017,4.85,0,0.037484,0.079468,19.036
2024-01-01 12:30,7.25,4.67,0,0.0375,0.08,19.194,0,8.157,4.35,0,0.037337,0.080414,19.292
2024-01-01 13:00,7.3,4.64,0,0.0375,0.08,19.105,0,7.09,5.21,0,0.037513,0.080302,19.007
2024-01-01 13:30,7.25,3.87,0,0.0375,0.08,19.017,0,7.091,4.69,0,0.037292,0.08009,19.314
2024-01-01 14:00,7.2,3.11,0,0.0375,0.08,18.929,0,7.236,3.37,0,0.037309,0.079609,19.007
2024-01-01 14:30,6.55,2.86,0,0.0375,0.08,18.837,0,6.018,2.94,0,0.037579,0.079204,18.941
2024-01-01 15:00,5.9,2.61,0,0.0375,0.08,18.74,0,5.841,1.87,0,0.037655,0.080471,18.528
2024-01-01 15:30,5.4,2.97,0,0.0375,0.08,18.641,0,5.905,2.97,0,0.037622,0.07943,18.717
2024-01-01 16:00,4.9,3.33,0,0.0375,0.08,18.538,0,4.901,4.46,0,0.037653,0.079226,19.261
2024-01-01 16:30,5.15,3.81,0,0.0375,0.08,18.438,0,5.507,4.49,0,0.037076,0.08028,18.34
2024-01-01 17:00,5.4,4.28,0,0.0375,0.08,18.341,0,5.193,4.31,0,0.037671,0.080281,18.497
2024-01-01 17:30,5.25,4.53,1,0.1625,12.08,18.965,1,5.228,4.65,1,0.161625,12.462325,18.791
2024-01-01 18:00,5.1,4.78,1,0.0375,12.08,19.576,1,4.651,4.51,1,0.037357,12.384384,19.356
2024-01-01 18:30,5.3,5.32,1,1.1,7.815463,20.0,1,5.121,5.32,1,1.098113,7.662519,19.993
2024-01-01 19:00,5.5,5.86,1,2.15,0.08,20.033,0,5.919,6.92,1,2.155672,0.080989,19.967
2024-01-01 19:30,5.6,6.01,1,0.0375,1.344574,20.0,1,5.404,6.78,1,0.03777,1.329085,19.844
2024-01-01 20:00,5.7,6.17,1,0.0375,1.877681,20.0,1,5.353,6.49,1,0.037616,1.872619,19.969
2024-01-01 20:30,5.9,6.83,1,1.225,0.517679,20.0,1,5.683,6.24,1,1.230567,0.514188,20.305
2024-01-01 21:00,6.1,7.5,1,0.975,0.772846,20.0,1,6.398,7.74,1,0.976901,0.772772,20.036
2024-01-01 21:30,6.2,7.4,1,1.0875,0.633576,20.0,1,6.429,8.34,1,1.082933,0.631043,20.086
2024-01-01 22:00,6.3,7.31,1,0.0375,1.800486,20.0,1,6.535,6.64,1,0.037772,1.798384,20.368
2024-01-01 22:30,6.85,6.85,1,1.2875,0.325229,20.0,1,6.877,6.62,1,1.296546,0.3263,20.074
2024-01-01 23:00,7.4,6.39,1,0.0375,0.08,19.906,0,7.698,6.79,1,0.037264,0.079221,19.988
2024-01-01 23:30,7.6,6.11,1,0.0375,0.08,19.814,0,8.008,6.06,1,0.037716,0.0802,19.742
2024-01-02 00:00,7.8,5.83,1,0.0375,0.08,19.725,0,7.586,6.02,0,0.037535,0.078871,19.7
2024-01-02 00:30,8.85,6.03,1,0.0375,0.08,19.644,0,9.342,5.53,0,0.037437,0.081476,19.833
2024-01-02 01:00,9.9,6.22,1,0.0375,0.08,19.572,0,10.21,5.86,1,0.037408,0.079776,19.692
2024-01-02 01:30,9.8,6.96,1,0.0375,0.08,19.5,0,9.985,7.68,1,0.037302,0.080442,19.419
2024-01-02 02:00,9.7,7.69,1,0.0375,0.08,19.427,0,9.7,7.92,1,0.037643,0.079456,19.343
2024-01-02 02:30,9.85,8.08,1,0.0375,0.08,19.357,0,9.73,8.98,1,0.03734,0.080616,18.974
2024-01-02 03:00,10.0,8.47,1,0.0375,0.08,19.287,0,10.484,8.6,1,0.037806,0.079393,19.527
2024-01-02 03:30,9.85,8.36,1,0.0375,0.08,19.218,0,9.437,8.27,1,0.037828,0.081099,18.933
2024-01-02 04:00,9.7,8.25,1,0.0375,0.08,19.147,0,9.795,9.16,1,0.037386,0.08134,19.153
2024-01-02 04:30,9.5,7.83,1,0.0375,0.08,19.076,0,9.565,7.99,1,0.037657,0.080633,19.043
2024-01-02 05:00,9.3,7.42,1,0.0375,0.08,19.004,0,9.109,7.03,1,0.037068,0.079573,19.401
2024-01-02 05:30,9.15,6.44,1,0.0375,0.08,18.931,0,9.678,7.0,1,0.037933,0.080664,19.065
2024-01-02 06:00,9.0,5.47,1,0.0375,0.08,18.857,0,8.965,5.04,1,0.037316,0.079943,18.721
2024-01-02 06:30,8.7,4.22,1,0.0375,0.08,18.782,0,8.594,4.21,1,0.037489,0.078762,18.706
2024-01-02 07:00,8.4,2.97,1,0.0375,12.08,19.419,1,8.377,2.23,1,0.037751,12.155962,19.335
2024-01-02 07:30,8.3,2.97,1,0.0375,11.234868,20.0,1,8.528,3.43,1,0.037256,11.192973,20.191
2024-01-02 08:00,8.2,2.97,1,0.0375,1.556035,20.0,1,7.995,3.21,1,0.037109,1.573745,19.81
2024-01-02 08:30,8.35,3.14,0,0.0375,0.08,19.913,0,7.769,2.82,0,0.037395,0.080658,19.913
2024-01-02 09:00,8.5,3.31,0,0.0375,0.08,19.828,0,8.143,3.59,0,0.037302,0.080189,19.879
2024-01-02 09:30,8.7,3.11,0,0.0375,0.08,19.746,0,9.031,3.84,0,0.037305,0.08083,19.868
2024-01-02 10:00,8.9,2.92,0,0.0375,0.08,19.665,0,8.718,2.58,0,0.037502,0.078804,19.686
2024-01-02 10:30,8.8,2.82,0,0.0375,0.08,19.585,0,8.997,3.19,0,0.037521,0.080182,19.522
2024-01-02 11:00,8.7,2.72,0,0.0375,0.08,19.504,0,8.337,3.08,0,0.037428,0.079118,19.515
2024-01-02 11:30,8.5,3.06,0,0.0375,0.08,19.422,0,8.938,3.89,0,0.037511,0.08066,19.553
2024-01-02 12:00,8.3,3.39,0,0.0375,0.08,19.339,0,8.639,4.51,0,0.037635,0.080188,19.467
2024-01-02 12:30,8.4,2.83,0,0.0375,0.08,19.258,0,8.13,3.07,0,0.037236,0.078383,18.982
2024-01-02 13:00,8.5,2.28,0,0.0375,0.08,19.178,0,8.821,1.85,0,0.037147,0.079955,18.771
2024-01-02 13:30,8.45,2.39,0,0.0375,0.08,19.099,0,8.26,2.37,0,0.037287,0.08002,19.384
2024-01-02 14:00,8.4,2.5,0,0.0375,0.08,19.019,0,8.436,1.9,0,0.037488,0.080317,18.984
2024-01-02 14:30,8.4,2.64,0,0.0375,0.08,18.941,0,8.633,2.38,0,0.037712,0.080145,19.247
2024-01-02 15:00,8.4,2.78,0,0.0375,0.08,18.862,0,8.37,2.6,0,0.037313,0.079781,18.918
2024-01-02 15:30,8.25,3.14,0,0.0375,0.08,18.784,0,8.552,3.69,0,0.03736,0.080847,18.517
2024-01-02 16:00,8.1,3.5,0,0.0375,0.08,18.704,0,8.076,3.54,0,0.037508,0.078433,18.904
2024-01-02 16:30,8.0,3.64,0,0.0375,0.08,18.625,0,7.91,3.63,0,0.037264,0.080104,18.763
2024-01-02 17:00,7.9,3.78,0,0.0375,0.08,18.545,0,7.833,3.83,0,0.037418,0.079265,18.659
2024-01-02 17:30,7.85,4.44,1,0.0375,12.08,19.18,1,8.14,4.93,0,0.037688,11.957535,19.339
2024-01-02 18:00,7.8,5.11,1,1.2875,12.08,19.893,1,8.224,5.23,1,1.285492,12.089249,19.793
2024-01-02 18:30,7.65,4.82,1,3.6375,0.08,20.042,0,7.792,4.43,1,3.664763,0.080019,19.664
2024-01-02 19:00,7.5,4.53,1,1.4625,0.08,20.044,0,7.498,4.74,0,1.431939,0.079155,19.874
2024-01-02 19:30,7.55,4.07,1,0.995833,0.08,20.015,0,7.902,4.21,1,0.98874,0.080507,19.973
2024-01-02 20:00,7.6,3.61,1,3.058333,0.08,20.124,0,7.771,3.65,1,3.048783,0.079098,20.186
2024-01-02 20:30,7.65,3.72,1,1.808333,0.08,20.15,0,8.106,3.75,1,1.802884,0.079995,20.051
2024-01-02 21:00,7.7,3.83,1,0.0375,0.08,20.057,0,8.027,2.66,1,0.03766,0.080111,19.835
2024-01-02 21:30,7.6,3.67,1,0.0375,0.681676,20.0,1,6.922,3.04,1,0.03768,0.678185,19.738
2024-01-02 22:00,7.5,3.5,1,1.4625,0.08,20.002,0,7.914,4.01,1,1.4595,0.07976,20.35
2024-01-02 22:30,7.4,3.33,1,0.1625,1.483752,20.0,1,7.347,3.03,1,0.163204,1.470205,19.993
2024-01-02 23:00,7.3,3.17,1,0.0375,0.08,19.905,0,7.627,2.42,1,0.037758,0.079723,20.054
2024-01-02 23:30,7.45,3.0,1,0.0375,0.08,19.812,0,7.036,2.25,1,0.03762,0.079817,20.173
2024-01-03 00:00,7.6,2.83,1,0.0375,0.08,19.722,0,7.265,2.69,1,0.037482,0.079372,19.947
2024-01-03 00:30,7.65,3.78,1,0.0375,0.08,19.632,0,7.196,4.66,1,0.037701,0.078929,19.692
2024-01-03 01:00,7.7,4.72,1,0.0375,0.08,19.543,0,7.648,4.8,1,0.037554,0.080503,19.597
2024-01-03 01:30,7.7,4.15,1,0.0375,0.08,19.455,0,7.439,4.72,1,0.037301,0.081942,19.486
2024-01-03 02:00,7.7,3.58,1,0.0375,0.08,19.367,0,8.111,3.99,1,0.037515,0.078776,19.226
2024-01-03 02:30,7.55,3.76,1,0.0375,0.08,19.279,0,7.273,3.82,1,0.03742,0.079755,19.119
2024-01-03 03:00,7.4,3.94,1,0.0375,0.08,19.191,0,7.104,3.66,1,0.037223,0.080597,19.04
2024-01-03 03:30,7.35,3.67,1,0.0375,0.08,19.103,0,7.758,3.62,1,0.037641,0.080143,19.197
2024-01-03 04:00,7.3,3.39,1,0.0375,0.08,19.015,0,6.804,3.2,1,0.037545,0.0809,18.928
2024-01-03 04:30,6.35,2.75,1,0.0375,0.08,18.92,0,5.538,2.35,1,0.037476,0.080198,19.055
2024-01-03 05:00,5.4,2.11,1,0.0375,0.08,18.819,0,5.422,2.19,1,0.037423,0.08214,18.527
2024-01-03 05:30,4.95,2.43,1,0.0375,0.08,18.716,0,4.797,3.14,1,0.037769,0.080728,18.529
2024-01-03 06:00,4.5,2.75,1,1.2875,0.08,18.693,0,4.183,2.85,1,1.302028,0.080604,18.325
2024-01-03 06:30,4.8,2.38,1,0.0375,0.08,18.589,0,4.878,2.22,1,0.037543,0.080429,18.627
2024-01-03 07:00,5.1,2.0,1,0.0375,12.08,19.202,1,4.864,1.84,1,0.037735,12.219154,18.924
2024-01-03 07:30,4.65,2.11,1,0.2875,12.08,19.824,1,4.321,2.2,1,0.289228,11.855734,19.964
2024-01-03 08:00,4.2,2.22,1,0.1625,4.863956,20.0,1,4.456,2.19,1,0.16147,4.813203,20.129
2024-01-03 08:30,4.45,2.22,0,0.0375,0.08,19.883,0,4.384,2.4,0,0.037767,0.080146,19.953
2024-01-03 09:00,4.7,2.22,0,0.0375,0.08,19.77,0,5.028,2.23,0,0.037465,0.080561,19.687
2024-01-03 09:30,5.3,2.03,0,0.0375,0.08,19.662,0,4.85,1.3,0,0.037581,0.080264,19.39
2024-01-03 10:00,5.9,1.83,0,0.0375,0.08,19.559,0,5.53,0.84,0,0.03724,0.079681,19.873
2024-01-03 10:30,6.45,1.47,0,0.0375,0.08,19.461,0,6.144,1.74,0,0.037549,0.079993,19.201
2024-01-03 11:00,7.0,1.11,0,0.0375,0.08,19.368,0,6.963,1.36,0,0.037361,0.078182,19.135
2024-01-03 11:30,7.35,1.15,0,0.0375,0.08,19.279,0,7.349,1.27,0,0.037526,0.079733,19.415
2024-01-03 12:00,7.7,1.19,0,0.0375,0.08,19.192,0,8.344,1.88,0,0.03709,0.079106,19.491
2024-01-03 12:30,7.85,2.12,0,0.0375,0.08,19.108,0,7.849,2.1,0,0.037553,0.078858,19.162
2024-01-03 13:00,8.0,3.06,0,0.0375,0.08,19.026,0,8.164,2.9,0,0.037356,0.079303,19.181
2024-01-03 13:30,8.0,3.28,0,0.0375,0.08,18.944,0,8.15,2.91,0,0.037742,0.079408,19.214
2024-01-03 14:00,8.0,3.5,0,0.0375,0.08,18.862,0,7.828,4.67,0,0.037304,0.079727,18.792
2024-01-03 14:30,7.75,3.31,0,0.0375,0.08,18.78,0,7.994,3.81,0,0.037464,0.081168,18.758
2024-01-03 15:00,7.5,3.11,0,0.0375,0.08,18.696,0,7.201,2.97,0,0.037296,0.081026,18.458
2024-01-03 15:30,7.25,3.33,0,0.0375,0.08,18.611,0,6.891,3.51,0,0.037727,0.078854,18.728
2024-01-03 16:00,7.0,3.56,0,0.0375,0.08,18.525,0,7.583,4.49,0,0.037507,0.080469,18.284
2024-01-03 16:30,6.95,3.64,0,0.0375,0.08,18.438,0,6.831,4.94,0,0.037823,0.079612,18.462
2024-01-03 17:00,6.9,3.72,0,0.0375,0.08,18.353,0,7.074,3.21,0,0.03735,0.079964,18.637
2024-01-03 17:30,6.75,3.72,1,0.1625,12.08,18.989,1,6.026,3.74,1,0.163528,12.206929,18.877
2024-01-03 18:00,6.6,3.72,1,0.975,12.08,19.673,1,7.035,3.03,1,0.976255,11.958852,19.891
2024-01-03 18:30,6.55,3.87,1,2.225,4.7666,20.0,1,6.407,4.04,1,2.216805,4.616236,19.616
2024-01-03 19:00,6.5,4.03,1,1.0875,0.594979,20.0,1,6.33,4.05,1,1.083623,0.601211,19.788
2024-01-03 19:30,6.5,4.07,1,0.0375,1.774754,20.0,1,6.411,3.93,1,0.037609,1.763104,19.936
2024-01-03 20:00,6.5,4.11,1,0.0375,1.774754,20.0,1,6.514,3.96,1,0.037405,1.743611,19.777
2024-01-03 20:30,6.6,3.92,1,2.983333,0.08,20.097,0,6.891,4.52,1,2.945463,0.08092,20.151
2024-01-03 21:00,6.7,3.72,1,1.808333,0.08,20.115,0,6.189,3.18,1,1.798054,0.080358,19.806
2024-01-03 21:30,6.7,3.57,1,0.995833,0.08,20.079,0,6.828,2.95,1,0.999725,0.077928,20.18
2024-01-03 22:00,6.7,3.42,1,1.2875,0.08,20.063,0,6.457,4.07,1,1.295014,0.078744,20.187
2024-01-03 22:30,6.65,3.22,1,0.0375,0.709037,20.0,1,6.423,2.9,1,0.037773,0.71037,19.961
2024-01-03 23:00,6.6,3.03,1,0.0375,0.08,19.9,0,6.985,3.32,1,0.037811,0.079979,19.817
2024-01-03 23:30,6.45,2.72,1,0.0375,0.08,19.8,0,6.505,2.04,1,0.037216,0.079404,19.394
2024-01-04 00:00,6.3,2.42,1,0.0375,0.08,19.699,0,6.813,2.67,1,0.037426,0.080318,19.446
2024-01-04 00:30,6.45,2.67,1,0.0375,0.08,19.6,0,6.375,2.75,1,0.03739,0.080766,19.398
2024-01-04 01:00,6.6,2.92,1,1.2875,0.08,19.586,0,6.638,4.02,1,1.282718,0.080148,19.585
2024-01-04 01:30,6.65,2.83,1,0.0375,0.08,19.49,0,6.691,3.19,1,0.03712,0.080472,19.671
2024-01-04 02:00,6.7,2.75,1,0.0375,0.08,19.394,0,6.474,3.3,1,0.037374,0.080278,19.469
2024-01-04 02:30,6.6,2.54,1,0.0375,0.08,19.299,0,6.435,2.11,1,0.037643,0.079059,19.185
2024-01-04 03:00,6.5,2.33,1,0.0375,0.08,19.204,0,6.751,2.31,1,0.037418,0.079463,18.925
2024-01-04 03:30,6.65,2.67,1,0.0375,0.08,19.11,0,6.466,2.66,1,0.037441,0.078268,19.119
2024-01-04 04:00,6.8,3.0,1,0.0375,0.08,19.018,0,6.679,3.87,1,0.03734,0.080911,18.8
2024-01-04 04:30,6.95,3.19,1,0.0375,0.08,18.928,0,6.639,3.06,1,0.037229,0.078802,18.616
2024-01-04 05:00,7.1,3.39,1,0.0375,0.08,18.84,0,6.944,3.05,1,0.037233,0.079377,18.981
2024-01-04 05:30,7.0,3.42,1,0.0375,0.08,18.752,0,7.135,3.42,1,0.037383,0.077931,18.621
2024-01-04 06:00,6.9,3.44,1,0.0375,0.08,18.664,0,6.249,3.23,1,0.037485,0.081491,18.304
2024-01-04 06:30,7.0,3.86,1,0.0375,0.08,18.577,0,7.062,3.85,1,0.03733,0.080429,18.552
2024-01-04 07:00,7.1,4.28,1,0.0375,12.08,19.206,1,7.682,4.07,1,0.037986,12.040293,19.27
2024-01-04 07:30,6.65,4.07,1,0.0375,12.08,19.826,1,6.38,4.09,1,0.03747,11.906661,19.91
2024-01-04 08:00,6.2,3.86,1,0.0375,4.713542,20.0,1,6.014,3.27,1,0.037584,4.705271,20.005
2024-01-04 08:30,6.15,3.26,0,0.0375,0.08,19.896,0,6.217,3.74,0,0.03734,0.080052,19.967
2024-01-04 09:00,6.1,2.67,0,0.0375,0.08,19.793,0,6.394,1.69,0,0.037414,0.080239,19.954
