meter_id,product,product_type,current_annual_cost_gbp,annual_cost_gbp,saving_vs_current_gbp,saving_pct,night_fraction,too_close,rank
1,E.ON Next Flex,"actual | 8.78p 00:00–06:30, 16.29p 07:00–22:30, 8.78p 23:00–23:30 | 20.0p/day standing",855.83,855.83,0.0,0.0,0.2394,False,0
1,E.ON Next Drive,"two_rate | 7.5p 00:00–06:30, 24.5p 07:00–23:30 | 50.0p/day standing",855.83,1280.12,-424.29,-49.6,0.2394,False,1
1,E.ON Next Fixed,flat | 24.0p/kWh all-day | 50.0p/day standing,855.83,1565.71,-709.88,-82.9,0.2394,False,2
2,E.ON Next Flex,"actual | 8.78p 00:00–06:30, 16.29p 07:00–22:30, 8.78p 23:00–23:30 | 20.0p/day standing",832.87,832.87,0.0,0.0,0.2126,False,0
2,E.ON Next Drive,"two_rate | 7.5p 00:00–06:30, 24.5p 07:00–23:30 | 50.0p/day standing",832.87,1260.07,-427.2,-51.3,0.2126,False,1
2,E.ON Next Fixed,flat | 24.0p/kWh all-day | 50.0p/day standing,832.87,1496.13,-663.26,-79.6,0.2126,False,2
3,E.ON Next Flex,"actual | 6.41p 00:00–06:30, 14.02p 07:00–15:30, 29.99p 16:00–19:30, 14.02p 20:00–23:30 | 20.0p/day standing",1022.49,1022.49,0.0,0.0,0.3024,False,0
3,E.ON Next Drive,"two_rate | 7.5p 00:00–06:30, 24.5p 07:00–23:30 | 50.0p/day standing",1022.49,1421.79,-399.3,-39.1,0.3024,False,1
3,E.ON Next Fixed,flat | 24.0p/kWh all-day | 50.0p/day standing,1022.49,1708.07,-685.58,-67.1,0.3024,False,2
4,E.ON Next Flex,"actual | 6.41p 00:00–06:30, 14.02p 07:00–15:30, 29.99p 16:00–19:30, 14.02p 20:00–23:30 | 20.0p/day standing",938.06,938.06,0.0,0.0,0.2715,False,0
4,E.ON Next Drive,"two_rate | 7.5p 00:00–06:30, 24.5p 07:00–23:30 | 50.0p/day standing",938.06,1317.13,-379.07,-40.4,0.2715,False,1
4,E.ON Next Fixed,flat | 24.0p/kWh all-day | 50.0p/day standing,938.06,1557.52,-619.46,-66.0,0.2715,False,2
5,E.ON Next Flex,"actual | 3.99p 00:00–07:30, 11.76p 08:00–15:30, 67.2p 16:00–23:30 | 20.0p/day standing",1464.13,1464.13,0.0,0.0,0.2386,False,0
5,E.ON Next Drive,"two_rate | 7.5p 00:00–06:30, 24.5p 07:00–23:30 | 50.0p/day standing",1464.13,1128.19,335.94,22.9,0.2386,False,1
