meter_id,capacity_kwh,installed_cost_gbp,annual_saving_gbp,payback_years,npv_10yr_gbp,recommended
1,2.0,1400.0,36.53,38.3,-1096.19,False
1,4.0,2800.0,66.91,41.8,-2243.54,False
1,5.0,3500.0,80.76,43.3,-2828.35,False
1,7.0,4900.0,103.75,47.2,-4037.15,False
1,10.0,7000.0,117.99,59.3,-6018.72,False
1,13.5,9450.0,121.58,77.7,-8438.87,False
2,2.0,1400.0,38.19,36.7,-1082.39,False
2,4.0,2800.0,72.45,38.6,-2197.46,False
2,5.0,3500.0,87.81,39.9,-2769.72,False
2,7.0,4900.0,114.51,42.8,-3947.67,False
2,10.0,7000.0,141.95,49.3,-5819.46,False
2,13.5,9450.0,160.3,59.0,-8116.85,False
3,2.0,1400.0,108.22,12.9,-499.98,True
3,4.0,2800.0,163.9,17.1,-1436.91,False
3,5.0,3500.0,180.85,19.4,-1995.94,False
3,7.0,4900.0,203.69,24.1,-3205.99,False
3,10.0,7000.0,221.1,31.7,-5161.2,False
3,13.5,9450.0,230.09,41.1,-7536.43,False
4,2.0,1400.0,105.48,13.3,-522.76,True
4,4.0,2800.0,156.65,17.9,-1497.2,False
4,5.0,3500.0,171.67,20.4,-2072.29,False
4,7.0,4900.0,191.76,25.6,-3305.21,False
4,10.0,7000.0,204.94,34.2,-5295.59,False
4,13.5,9450.0,209.77,45.0,-7705.43,False
5,2.0,1400.0,317.19,4.4,1237.94,True
5,4.0,2800.0,503.62,5.6,1388.41,False
5,5.0,3500.0,560.46,6.2,1161.12,False
5,7.0,4900.0,636.85,7.7,396.43,False
5,10.0,7000.0,700.78,10.0,-1171.89,False
5,13.5,9450.0,734.29,12.9,-3343.2,False
6,2.0,1400.0,0.0,inf,-1400.0,False
6,4.0,2800.0,0.0,inf,-2800.0,False
6,5.0,3500.0,0.0,inf,-3500.0,False
6,7.0,4900.0,0.0,inf,-4900.0,False
6,10.0,7000.0,0.0,inf,-7000.0,False
6,13.5,9450.0,0.0,inf,-9450.0,False
7,2.0,1400.0,0.0,inf,-1400.0,False
7,4.0,2800.0,0.0,inf,-2800.0,False
7,5.0,3500.0,0.0,inf,-3500.0,False
7,7.0,4900.0,0.0,inf,-4900.0,False
7,10.0,7000.0,0.0,inf,-7000.0,False
7,13.5,9450.0,0.0,inf,-9450.0,False
8,2.0,1400.0,0.0,inf,-1400.0,False
8,4.0,2800.0,0.0,inf,-2800.0,False
8,5.0,3500.0,0.0,inf,-3500.0,False
8,7.0,4900.0,0.0,inf,-4900.0,False
8,10.0,7000.0,0.0,inf,-7000.0,False
8,13.5,9450.0,0.0,inf,-9450.0,False
9,2.0,1400.0,0.0,inf,-1400.0,False
9,4.0,2800.0,0.0,inf,-2800.0,False
9,5.0,3500.0,0.0,inf,-3500.0,False
9,7.0,4900.0,0.0,inf,-4900.0,False
9,10.0,7000.0,0.0,inf,-7000.0,False
9,13.5,9450.0,0.0,inf,-9450.0,False
10,2.0,1400.0,0.0,inf,-1400.0,False
10,4.0,2800.0,0.0,inf,-2800.0,False
10,5.0,3500.0,0.0,inf,-3500.0,False
10,7.0,4900.0,0.0,inf,-4900.0,False
10,10.0,7000.0,0.0,inf,-7000.0,False
10,13.5,9450.0,0.0,inf,-9450.0,False
11,2.0,1400.0,0.0,inf,-1400.0,False
11,4.0,2800.0,0.0,inf,-2800.0,False
11,5.0,3500.0,0.0,inf,-3500.0,False
11,7.0,4900.0,0.0,inf,-4900.0,False
11,10.0,7000.0,0.0,inf,-7000.0,False
11,13.5,9450.0,0.0,inf,-9450.0,False
12,2.0,1400.0,0.0,inf,-1400.0,False
12,4.0,2800.0,0.0,inf,-2800.0,False
12,5.0,3500.0,0.0,inf,-3500.0,False
12,7.0,4900.0,0.0,inf,-4900.0,False
12,10.0,7000.0,0.0,inf,-7000.0,False
12,13.5,9450.0,0.0,inf,-9450.0,False
13,2.0,1400.0,0.0,inf,-1400.0,False
13,4.0,2800.0,0.0,inf,-2800.0,False
13,5.0,3500.0,0.0,inf,-3500.0,False
13,7.0,4900.0,0.0,inf,-4900.0,False
13,10.0,7000.0,0.0,inf,-7000.0,False
13,13.5,9450.0,0.0,inf,-9450.0,False
14,2.0,1400.0,0.0,inf,-1400.0,False
14,4.0,2800.0,0.0,inf,-2800.0,False
14,5.0,3500.0,0.0,inf,-3500.0,False
14,7.0,4900.0,0.0,inf,-4900.0,False
14,10.0,7000.0,0.0,inf,-7000.0,False
14,13.5,9450.0,0.0,inf,-9450.0,False
