meter_id,appliance,match_count,mean_confidence,likely_present
1,dishwasher,3507,0.72,True
1,ev_fast,943,0.6,True
1,ev_slow,606,0.56,True
1,immersion,3563,0.68,True
1,oven,3532,0.71,True
1,shower,3518,0.74,True
1,washing,3554,0.86,True
2,dishwasher,5428,0.73,True
2,ev_fast,1757,0.58,True
2,ev_slow,983,0.55,False
2,immersion,5588,0.69,True
2,oven,5521,0.73,True
2,shower,5469,0.74,True
2,washing,5569,0.87,True
3,dishwasher,6446,0.73,True
3,ev_fast,2306,0.61,True
3,ev_slow,1501,0.57,True
3,immersion,6684,0.7,True
3,oven,6640,0.74,True
3,shower,6651,0.73,True
3,washing,6630,0.86,True
4,dishwasher,5167,0.73,True
4,ev_fast,1713,0.6,True
4,ev_slow,1029,0.55,True
4,immersion,5353,0.69,True
4,oven,5320,0.72,True
4,shower,5300,0.73,True
4,washing,5345,0.86,True
5,dishwasher,4477,0.72,True
5,ev_fast,1428,0.59,True
5,ev_slow,888,0.54,False
5,immersion,4670,0.68,True
5,oven,4583,0.72,True
5,shower,4568,0.74,True
5,washing,4628,0.86,True
6,dishwasher,5353,0.73,True
6,ev_fast,1723,0.59,True
6,ev_slow,978,0.57,True
6,immersion,5469,0.68,True
6,oven,5437,0.72,True
6,shower,5436,0.73,True
6,washing,5514,0.86,True
7,dishwasher,4817,0.73,True
7,ev_fast,1563,0.61,True
7,ev_slow,945,0.57,True
7,immersion,5000,0.68,True
7,oven,4912,0.72,True
7,shower,4856,0.74,True
7,washing,4930,0.86,True
8,dishwasher,4951,0.73,True
8,ev_fast,1602,0.59,True
8,ev_slow,921,0.56,True
8,immersion,5078,0.68,True
8,oven,5059,0.72,True
8,shower,5046,0.73,True
8,washing,5077,0.86,True
9,dishwasher,6388,0.73,True
9,ev_fast,1959,0.58,True
9,ev_slow,1155,0.56,True
9,immersion,6548,0.68,True
9,oven,6516,0.71,True
9,shower,6488,0.73,True
9,washing,6582,0.85,True
10,dishwasher,4733,0.73,True
10,ev_fast,1630,0.61,True
10,ev_slow,1035,0.58,True
10,immersion,4926,0.68,True
10,oven,4881,0.72,True
10,shower,4890,0.73,True
10,washing,4920,0.86,True
11,dishwasher,3507,0.75,True
11,ev_fast,1255,0.6,True
11,ev_slow,676,0.56,True
11,immersion,3556,0.71,True
11,oven,3490,0.75,True
11,shower,3456,0.74,True
11,washing,3550,0.88,True
12,dishwasher,7030,0.75,True
12,ev_fast,2466,0.56,True
12,ev_slow,1334,0.53,False
12,immersion,7282,0.7,True
12,oven,7218,0.74,True
12,shower,7038,0.75,True
12,washing,7276,0.86,True
13,dishwasher,7127,0.73,True
13,ev_fast,2718,0.58,True
13,ev_slow,1389,0.6,True
13,immersion,7287,0.68,True
13,oven,7238,0.71,True
13,shower,7199,0.71,True
13,washing,7430,0.85,True
14,dishwasher,4805,0.73,True
14,ev_fast,1412,0.58,True
14,ev_slow,777,0.54,False
14,immersion,4978,0.69,True
14,oven,4923,0.74,True
14,shower,4853,0.76,True
14,washing,4948,0.87,True
